 ,Area,Mean,X,Y
458,136,2.0,453.0,433.1
459,238,2.4,432.2,438.7
460,88,68.4,757.1,436.5
461,14,2.3,1340.3,431.8
462,224,2.0,159.3,439.6
463,17,2.0,313.5,433.6
464,319,2.7,729.7,440.3
465,93,1.9,683.6,436.7
466,28,66.3,1276.2,436.7
467,152,2.8,1320.9,444.0
468,42,2.2,968.0,437.9
469,117,2.1,991.8,440.7
470,33,2.0,1378.0,437.4
471,93,2.2,1407.6,439.4
472,11,2.1,1181.8,441.3
473,53,53.4,887.9,442.7
474,79,2.0,186.1,446.3
475,210,2.2,340.6,452.6
476,68,2.5,354.4,446.4
477,197,2.1,289.7,453.7
478,309,9.9,372.8,459.4
479,42,1.9,1042.7,448.5
480,18,2.0,1157.7,447.0
481,128,2.2,977.7,452.5
482,82,1.9,178.9,453.0
483,57,7.5,899.7,451.2
484,171,2.0,1415.6,454.5
485,28,2.0,485.5,451.6
486,4,2.0,1120.0,449.0
487,64,2.0,1397.7,451.4
488,34,2.3,951.3,453.3
489,2,2.0,1008.5,451.0
490,44,2.0,1347.0,454.3
491,49,2.0,1375.3,453.5
492,356,2.6,852.7,463.9
493,42,3.1,1266.2,454.7
494,107,2.0,703.7,458.5
495,115,2.3,925.4,460.8
496,50,71.4,1289.0,457.0
497,85,2.1,439.8,459.4
498,29,2.4,393.2,458.7
499,8,2.0,527.0,456.4
500,26,2.0,419.0,458.7
501,55,25.6,511.9,459.9
502,15,2.0,1163.6,458.0
503,63,7.3,1084.2,461.0
504,107,2.5,186.1,465.8
505,69,2.2,213.4,466.7
506,245,2.1,232.0,470.8
507,179,2.2,312.0,467.6
508,24,2.8,905.5,466.0
509,47,3.3,1304.8,466.9
510,71,2.5,486.5,472.9
511,203,2.1,272.5,477.6
512,9,2.6,350.5,470.2
513,1,2.0,1128.5,468.5
514,191,2.5,951.9,476.2
515,41,2.1,471.1,473.0
516,203,2.7,373.7,479.2
517,41,2.3,506.8,476.1
518,5,2.2,1335.5,472.7
519,76,2.1,1210.4,479.4
520,131,2.2,287.1,480.6
521,96,2.2,165.7,480.3
522,190,2.1,769.1,483.2
523,88,2.8,969.9,479.7
524,39,3.5,1262.9,478.8
525,74,2.0,1326.2,479.9
526,88,2.1,1405.4,480.6
527,338,2.2,1029.4,489.0
528,65,2.3,1302.1,480.1
529,27,2.2,403.8,480.8
530,108,2.4,304.6,484.0
531,82,4.9,334.1,484.7
532,351,2.0,1078.6,492.0
533,199,85.7,197.7,488.0
534,67,55.3,819.8,484.4
535,195,2.0,1417.4,490.2
536,29,40.6,905.1,485.1
537,63,2.0,1348.2,488.6
538,2,2.0,1370.0,483.5
539,78,1.9,1390.3,487.8
540,77,2.2,238.5,490.2
541,80,2.1,993.2,490.7
542,20,1.9,1179.5,488.4
543,170,2.0,735.9,494.0
544,76,2.2,313.8,493.8
545,188,7.1,359.4,499.0
546,10,2.4,861.6,490.1
547,99,2.4,289.1,494.6
548,249,2.2,150.1,498.1
549,149,37.9,514.9,495.2
550,25,2.0,397.9,494.4
551,193,4.5,498.8,498.5
552,133,2.4,962.6,497.4
553,2,2.5,450.0,492.5
554,70,3.1,1251.4,495.8
555,74,2.2,1303.7,495.2
556,1,2.0,421.5,493.5
557,3,2.0,447.8,494.8
558,60,2.0,1104.3,497.0
559,57,2.1,304.0,500.7
560,157,2.2,790.3,506.2
561,213,39.5,566.9,506.2
562,107,2.4,1313.8,504.8
563,220,3.8,218.6,509.3
564,33,2.2,994.0,504.2
565,48,7.2,1278.6,503.8
566,41,2.0,1364.8,504.2
567,273,7.3,183.5,511.7
568,38,2.2,331.1,503.8
569,280,53.2,540.4,511.4
570,157,2.2,432.4,510.4
571,130,2.1,736.3,509.2
572,92,2.2,1263.7,509.5
573,23,2.5,1401.6,508.1
574,119,2.5,891.3,513.1
575,123,2.8,289.0,512.8
576,40,27.0,344.0,511.0
577,178,2.4,767.9,518.3
578,123,2.2,1080.1,516.5
579,7,2.0,1325.5,509.5
580,19,2.1,1212.9,511.0
581,1,1.0,389.5,510.5
582,119,5.2,515.4,516.0
583,26,2.2,406.5,515.3
584,6,2.0,1394.0,513.5
585,216,2.2,597.8,520.1
586,118,2.6,1302.9,519.3
587,53,2.3,907.3,517.9
588,327,2.3,942.9,527.3
589,26,2.0,1014.3,516.7
590,35,2.3,281.2,519.1
591,177,2.5,501.8,522.5
592,121,2.5,820.3,522.5
593,1,2.0,1252.5,515.5
594,341,2.2,423.7,526.8
595,61,5.8,561.0,520.3
596,248,2.2,148.9,526.2
597,90,2.4,298.9,522.0
598,21,1.9,1357.9,520.1
599,42,2.3,314.1,521.1
600,110,2.1,1137.7,523.8
601,48,2.1,1168.4,523.0
602,34,2.0,1290.9,521.7
603,19,2.5,1008.1,522.4
604,18,2.2,1254.8,521.5
605,3,66.3,248.8,522.2
606,18,2.0,1110.2,523.5
607,82,2.7,209.2,529.4
608,146,2.1,1096.6,528.3
609,37,2.5,483.7,528.2
610,78,97.0,183.5,529.1
611,75,2.0,633.0,531.0
612,96,2.9,293.2,534.0
613,85,3.2,515.0,532.7
614,59,5.5,534.0,532.5
615,5,2.2,383.3,531.1
616,116,2.1,603.2,536.8
617,141,2.3,849.3,537.6
618,38,2.1,446.0,536.0
619,57,2.2,1054.7,535.6
620,124,2.4,30.2,538.3
621,474,2.2,115.5,545.8
622,73,2.4,552.7,537.1
623,35,2.0,579.9,534.4
624,388,76.6,61.4,542.6
625,31,2.2,308.5,536.3
626,234,2.3,1273.1,542.0
627,42,2.2,357.3,536.6
628,65,2.9,1220.4,539.3
629,77,2.4,227.3,541.1
630,47,2.2,367.4,540.9
631,63,2.3,492.1,540.8
632,290,2.7,504.1,547.2
633,170,2.1,740.6,546.8
634,63,2.4,874.2,542.0
635,253,2.9,468.4,550.4
636,35,1.9,1304.2,542.4
637,13,2.2,1321.7,541.5
638,122,2.1,14.0,546.5
639,84,2.3,353.4,546.6
640,131,2.2,795.3,546.3
641,89,3.0,202.8,546.6
642,421,2.4,244.8,555.0
643,15,2.5,334.6,543.9
644,170,35.4,527.0,551.9
645,51,2.7,884.2,545.6
646,1,3.0,1184.5,542.5
647,380,2.5,927.5,552.5
648,307,96.2,990.9,555.6
649,174,2.1,713.9,550.8
650,169,2.2,770.0,555.7
651,250,2.1,1300.1,559.6
652,181,2.4,135.9,553.7
653,181,2.2,633.7,557.3
654,77,2.0,1050.4,554.3
655,57,2.2,1163.5,553.6
656,213,2.6,296.4,559.6
657,54,8.2,1139.6,553.9
658,142,2.7,1269.0,560.5
659,2,2.0,1121.5,553.0
660,156,2.1,809.1,559.4
661,104,2.9,968.9,558.9
662,89,2.2,266.7,561.2
663,71,2.2,311.5,558.6
664,170,2.7,511.1,560.5
665,83,4.5,571.2,558.8
666,238,2.5,157.3,564.8
667,57,2.4,407.4,561.7
668,107,6.6,221.7,563.5
669,74,7.6,487.0,561.2
670,86,3.3,1210.4,561.2
671,147,2.7,329.4,563.1
672,146,3.1,539.9,563.9
673,163,2.3,596.0,566.5
674,142,2.6,869.8,567.2
675,47,52.3,475.4,566.6
676,112,5.1,845.2,572.0
677,127,2.2,19.7,570.2
678,90,53.1,180.0,570.4
679,326,2.3,305.3,573.4
680,32,3.2,1224.7,567.3
681,30,3.8,369.6,569.1
682,167,2.2,1075.3,573.4
683,127,2.3,36.9,572.6
684,26,2.6,390.8,568.8
685,54,4.5,425.1,570.3
686,179,3.4,448.0,574.4
687,59,2.3,1144.8,571.8
688,59,3.0,1169.5,570.3
689,44,91.5,211.1,572.0
690,88,2.2,346.0,574.2
691,165,2.4,520.9,575.7
692,199,2.4,714.5,577.0
693,387,2.7,1021.1,578.1
694,195,2.3,270.0,580.6
695,174,3.4,494.2,578.6
696,4,2.8,1185.0,570.0
697,108,2.4,1131.2,577.5
698,120,3.2,1242.5,576.3
699,155,2.1,767.5,582.1
700,211,2.5,1054.9,584.4
701,42,2.0,1297.9,576.2
702,376,2.4,257.0,588.2
703,39,2.4,411.0,577.8
704,204,13.6,452.2,584.9
705,98,2.1,533.1,581.3
706,150,5.0,611.3,583.6
707,407,121.2,909.8,591.0
708,145,2.4,971.8,581.9
709,172,3.2,236.1,584.2
710,536,2.5,55.8,593.7
711,507,2.4,101.3,596.2
712,42,2.4,356.4,581.8
713,2,2.0,1096.5,580.0
714,47,3.3,1211.8,585.4
715,56,2.2,1137.4,585.6
716,178,2.2,566.4,590.6
717,242,2.6,154.8,595.1
718,11,3.6,1192.6,585.3
719,122,2.2,37.3,592.0
720,246,2.5,132.6,593.9
721,136,2.2,505.9,592.7
722,156,2.1,734.0,590.5
723,26,3.6,1271.7,588.1
724,56,2.5,432.2,590.8
725,56,2.4,484.2,591.3
726,68,2.5,399.0,594.3
727,116,2.3,789.4,594.7
728,14,73.1,200.9,591.7
